video_id,label,category,n_segments,max_score,mean_score,std_score,predicted_label,annotation_found
Assault010_x264,1,Assault,2021,0.9899119734764099,0.2257542461156845,0.3893408179283142,1,True
Assault011_x264,1,Assault,285,0.9887005686759949,0.15314321219921112,0.3335569500923157,1,True
Assault006_x264,1,Assault,1011,0.9894195795059204,0.6395483613014221,0.4455915093421936,1,True
Burglary017_x264,1,Burglary,263,0.9849329590797424,0.03708243370056152,0.17429624497890472,1,True
Burglary005_x264,1,Burglary,965,0.9814401268959045,0.07089053094387054,0.2143707126379013,1,True
Burglary079_x264,1,Burglary,1855,0.9895169138908386,0.4225197732448578,0.4440804123878479,1,True
Burglary021_x264,1,Burglary,191,0.9887588024139404,0.10770375281572342,0.28131479024887085,1,True
Burglary037_x264,1,Burglary,239,0.9892057180404663,0.5640400648117065,0.45651954412460327,1,True
Burglary076_x264,1,Burglary,1614,0.0004948099958710372,0.00021463337179739028,1.2565183169499505e-05,0,True
Burglary024_x264,1,Burglary,449,0.989294171333313,0.2810462415218353,0.4331757128238678,1,True
Burglary018_x264,1,Burglary,139,0.9852238893508911,0.16733625531196594,0.320997416973114,1,True
Burglary035_x264,1,Burglary,505,0.9708868265151978,0.0052430834621191025,0.06084417924284935,1,True
Burglary061_x264,1,Burglary,1122,0.0003706477873492986,0.0002171808446291834,1.1905261999345385e-05,0,True
Burglary032_x264,1,Burglary,1973,0.9893414378166199,0.8130044937133789,0.3547268211841583,1,True
Burglary033_x264,1,Burglary,156,0.9618541598320007,0.03876551240682602,0.17058980464935303,1,True
Burglary092_x264,1,Burglary,77,0.0003767926536966115,0.0002301003405591473,2.6914389309240505e-05,0,True
Fighting042_x264,1,Fighting,278,0.989152193069458,0.9344486594200134,0.1968577653169632,1,True
Fighting033_x264,1,Fighting,137,0.9891050457954407,0.6180732846260071,0.4258597493171692,1,True
Fighting047_x264,1,Fighting,556,0.9877622127532959,0.12257562577724457,0.2916138470172882,1,True
Fighting018_x264,1,Fighting,172,0.006570969242602587,0.0005371673032641411,0.0008948841132223606,0,True
Fighting003_x264,1,Fighting,386,0.9880117177963257,0.2249470055103302,0.3714399039745331,1,True
Vandalism028_x264,1,Vandalism,560,0.989090621471405,0.1545407772064209,0.34130096435546875,1,True
Vandalism015_x264,1,Vandalism,371,0.9881770014762878,0.25926104187965393,0.41126400232315063,1,True
Vandalism017_x264,1,Vandalism,125,0.0039620897732675076,0.0004466961254365742,0.00048447467270307243,0,True
Vandalism036_x264,1,Vandalism,179,0.9868513941764832,0.043217048048973083,0.18995149433612823,1,True
Vandalism007_x264,1,Vandalism,142,0.9892045855522156,0.6662102341651917,0.412567138671875,1,True
Shooting037_x264,1,Shooting,37,0.98818039894104,0.610416054725647,0.4533500075340271,1,True
Shooting011_x264,1,Shooting,499,0.9887133836746216,0.0852082371711731,0.2625485956668854,1,True
Shooting032_x264,1,Shooting,2709,0.9879738092422485,0.03987797349691391,0.17039667069911957,1,True
Shooting022_x264,1,Shooting,568,0.9844595193862915,0.010309870354831219,0.09055574238300323,1,True
Shooting004_x264,1,Shooting,223,0.9882164597511292,0.4446974992752075,0.431756854057312,1,True
Shooting026_x264,1,Shooting,174,0.9877739548683167,0.3773075044155121,0.4301069676876068,1,True
Shooting028_x264,1,Shooting,236,0.9890466332435608,0.17744402587413788,0.3657248318195343,1,True
Shooting024_x264,1,Shooting,249,0.0006012482917867601,0.00024038442643359303,5.665245043928735e-05,0,True
Shooting013_x264,1,Shooting,133,0.9888107776641846,0.37064602971076965,0.46605658531188965,1,True
Shooting034_x264,1,Shooting,175,0.9654542803764343,0.04051726683974266,0.16527920961380005,1,True
Shooting015_x264,1,Shooting,213,0.9889544248580933,0.331429660320282,0.42560330033302307,1,True
Shooting007_x264,1,Shooting,177,0.9808382987976074,0.0381411537528038,0.1582147479057312,1,True
Shooting008_x264,1,Shooting,202,0.9885995388031006,0.15180422365665436,0.3393307626247406,1,True
Shooting033_x264,1,Shooting,452,0.9893162250518799,0.2227955013513565,0.39413216710090637,1,True
Shooting002_x264,1,Shooting,149,0.9887069463729858,0.8823604583740234,0.24251525104045868,1,True
